"Route","Days","Camillus Commons","Fairmount Fair","Downtown Fayette & Salina Sts.","Arhicbold Theater Irving Ave.","College Place","Westcott St. & Euclid Ave","Genesee St. & Westcott St.","Nottingham H.S.","East Genesee St. & Jamesville Rd.","Menorha Park","Rt 481","Wegmans Plaza Park-n-ride","Shoppingtown Mall",
"330","W","5:47","5:52","6:10","6:15","6:24","6:28","6:31",,"6:35",,,"6:37",,
"330","W","6:22","6:27","6:45","6:50","6:59","7:03","7:06",,"7:10",,,"7:12",,
"130","W","7:00","7:08","7:30","7:35","7:44","7:48","7:51","7:55",,,,,,
"530","W","7:35","7:43","8:05","8:10","8:19","8:23","8:26",,"8:32",,,,"8:40",
"530","W",,,"9:20","9:25","9:34","9:38","9:41",,"9:52",,,,"10:00","1"
"530","W","9:53","10:01","10:30","10:35","10:44","10:48","10:51",,"10:57",,,,"11:05",
"530","W","11:00","11:09","11:40","11:45","11:54","11:58","12:01",,"12:07",,,,"12:15",
"530","W","12:10","12:19","12:50","12:55","13:04","13:08","13:11",,"13:22",,,,"13:30","1"
"530","W","13:20","13:29","14:00","14:05","14:14","14:18","14:21",,"14:27",,,,"14:35","1"
"530","W","14:30","14:39","15:10","15:15","15:24","15:28","15:31",,"15:37",,,,"15:45",
"530","W","15:40","15:49","16:15","16:20","16:29","16:33","16:36",,"16:42",,,"16:45","16:55","3"
"530","W",,,"16:40","16:44","16:54","16:58","17:01",,"17:07",,,"17:10","17:20","3"
"430","W",,,"16:40",,,,"16:46",,"16:53",,"17:05",,,
"430","W",,,"17:10",,,,"17:16",,"17:23",,"17:35",,,
"530","W","16:38","16:46","17:12","17:17","17:26","17:30","17:33",,"17:39",,,"17:42","17:52","3"
"530","W","17:13","17:21","17:45","17:50","17:59","18:03","18:06",,"18:12",,,,"18:20",
"230","W","22:03","22:10","22:35","22:40","22:48","22:52","22:55",,,"23:03",,,,"1"
"330","S",,,"6:30","6:35","6:40","6:43","6:45","6:49",,,,"6:52",,"1"
"230","S",,,"7:30","7:35","7:43","7:47","7:50",,,"7:58",,,,
"530","S","7:56","8:04","8:30","8:36","8:48","8:52","8:56",,"9:00",,,,"9:10",
"530","S",,,"9:30","9:36","9:48","9:52","9:56",,"10:00",,,,"10:10",
"530","S","10:03","10:11","10:40","10:46","10:58","11:02","11:06",,"11:10",,,,"11:20",
"530","S","11:10","11:19","11:50","11:56","12:08","12:12","12:16",,"12:20",,,,"12:30",
"530","S",,,"13:00","13:06","13:18","13:22","13:26",,"13:30",,,,"13:40",
"530","S",,,"14:10","14:16","14:28","14:32","14:26",,"14:42",,,,"14:50","1"
"530","S",,,"15:20","15:26","15:38","15:42","15:46",,"15:50",,,,"16:00","1"
"530","S","15:20","15:59","16:30","16:36","16:48","16:52","16:56",,"17:02",,,,"17:10",
"530","S",,,"17:40","17:46","17:58","18:02","18:06",,"18:10",,,,"18:20",
"230","S","22:03","22:10","122:35","22:40","22:48","22:52","22:55",,,"23:03",,,,"1"
