"name","description","route"
"Route 340 Inbound Weekday","Route 340 Drumlins","Route 340"
"Route 340 Inbound Weekday Note 1","Route 340 Drumlins","Route 340"
"Route 340 Inbound Weekday Note 2","Route 340 Drumlins","Route 340"
"Route 340 Inbound Weekday Note 3","Route 340 Drumlins","Route 340"
"Route 340 Inbound Saturday","Route 340 Drumlins","Route 340"
"Route 340 Inbound Sunday & Holidays A","Route 340 Drumlins","Route 340"
"Route 340 Inbound Sunday & Holidays B","Route 340 Drumlins","Route 340"
"Route 340 Inbound Sunday & Holidays C","Route 340 Drumlins","Route 340"
"Route 340 Outbound Weekday_A","Route 340 Drumlins","Route 340"
"Route 340 Outbound Weekday_B","Route 340 Drumlins","Route 340"
"Route 340 Outbound Weekday Note 1","Route 340 Drumlins","Route 340"
"Route 340 Outbound Weekday Note 2","Route 340 Drumlins","Route 340"
"Route 340 Outbound Weekend","Route 340 Drumlins","Route 340"
