"Direction","Inbound",,,,,,,,,,,,,,,
"Start Date","09/06/10",,,,,,,,,,,,,,,
"End date","09/06/11",,,,,,,,,,,,,,,
"Route","Days","Display Name","Rt 481","Wegmans Plaza Park-n-Ride","Nottingham H.S.","Shoppingtown Mall","East Genesee St. & Jamesville Rd.","Menorah Park","Genesee St. & Wescott St.","Westcott St. & Euclid Ave.","Bird Library University Place","Archibold Theater Irving Ave.","Downtown Fayette & Salina Sts.","Fairmont Fair","Camilius Commons","NOTE"
,,,"43.010874,-76.074604","43.030619,-76.051038","43.042499,-76.096925","43.042905,-76.064111","43.035234,-76.067665","43.038365,-76.078724","43.045537,-76.119676","43.036818,-76.118941","43.039392,-76.133207","43.046492,-76.137756","43.04869,-76.152224","43.047035,-76.238798","43.038943,-76.309099",
"330","W","Westcott/Downtown",,"5:32",,,"5:35",,"5:44","5:48","5:54","6:01","6:10",,,
"330","W","Westcott/Downtown",,"6:37",,,"6:40",,"6:49","6:53","6:59","7:06","7:15",,,
"330","W","Westcott/Downtown",,"7:12",,,"7:15",,"7:22","7:26","7:32","7:39","7:45",,,
"430","W","Genesse/Downtown","7:23",,,,"7:29",,"7:38",,,,"7:50",,,
"430","W","Genesse/Downtown","7:53",,,,"7:59",,"8:08",,,,"8:20",,,
"130","W","Westcott/Camilus",,,"7:55",,,,"8:03","8:07","8:13","8:18","8:25",,,
"330","W","Westcott/Camilus",,"8:02",,,"8:05",,"8:14","8:18","8:24","8:31","8:40",,,
"530","W","Westcott/Downtown",,,,"9:07","9:11",,"9:21","9:25","9:31","9:38","9:47",,,
"530","W","Westcott/Camilus",,,,"9:45","9:49",,"9:59","10:03","10:09","10:16","10:25","10:47","11:00","1"
"530","W","Westcott/Camilus",,,,"10:52","10:56",,"11:09","11:13","11:19","11:26","11:35","11:57","12:10","1"
"530","W","Westcott/Camilus",,,,"12:02","12:06",,"12:19","12:23","12:29","12:36","12:45","13:07","13:20",
"530","W","Westcott/Camilus",,,,"13:15","13:19",,"13:29","13:33","13:39","13:46","13:55","14:17","14:30","1"
"130","W","Westcott/Camilus",,,"14:00",,,,"14:08","14:12","14:18","14:23","14:30",,,"2"
"530","W","Westcott/Camilus",,,,"14:25","14:29",,"14:39","14:43","14:49","14:56","15:05","15:27","15:40",
"530","W","Westcott/Camilus",,,,"15:30","15:34",,"15:44","15:48","15:54","16:01","16:10","16:25","16:35",
"30","W","Downtown/Camilus",,,,,,,,,"16:09","16:16","16:25","16:40","16:50",
"30","W","Downtown/Camilus",,,,,,,,,"16:39","16:46","16:55","17:12","17:25",
"530","W","Westcott/Camilus",,,,"16:40","16:44",,"16:54","16:58","17:04","17:11","17:20","17:40","17:50",
"530","W","Westcott/Camilus",,,,"17:00","17:04",,"17:16","17:21","17:27","17:34","17:45","18:00","18:10",
"230","W","Westcott/Downtown",,,,,,"23:03","23:08","23:12","23:18","23:23","23:30",,,"1"
"330","S","Westcott/Downtown",,"6:52",,,"6:55",,"7:02","7:06","7:12","7:19","7:25","7:45","7:55",
"230","S","Westcott/Downtown",,,,,,"7:58","8:03","8:07","8:13","8:18","8:25","8:45","8:55","1"
"330","S","Westcott/Downtown",,"8:52",,,"8:55",,"9:02","9:06","9:12","9:19","9:25",,,
"530","S","Westcott/Downtown",,,,"10:30","10:34",,"10:44","10:48","10:54","11:01","11:10",,,
"530","S","Westcott/Downtown",,,,"11:40","11:44",,"11:54","11:58","12:04","12:11","12:20",,,
"530","S","Westcott/Downtown",,,,"12:50","12:54",,"13:04","13:08","13:14","13:21","13:30",,,
"530","S","Westcott/Downtown",,,,"14:00","14:04",,"14:14","14:18","14:24","14:31","14:40",,,
"530","S","Westcott/Downtown",,,,"15:10","15:14",,"15:24","15:28","15:34","15:41","15:50",,,
"530","S","Westcott/Downtown",,,,"16:20","16:24",,"16:34","16:38","16:44","16:51","17:00",,,
"530","S","Westcott/Downtown",,,,"17:25","17:29",,"17:39","17:43","17:49","17:56","18:05",,,
"530","S","Westcott/Camilus",,,,"18:30","18:34",,"18:44","18:48","18:54","19:01","19:10","19:30","19:40",
"230","S","Westcott/Downtown",,,,,,"23:05","23:10","23:13","23:18","23:23","23:30",,,"1"
