"Direction","Outbound",,,,,,,,,,
"Start Date","9/6/2010",,,,,,,,,,
"End date","9/1/2011",,,,,,,,,,
"Route","Days","Display Name","Regional Transportation Center","CAROUSEL CENTER","DOWNTOWN Fayette & Salina Sts.","Civic Center State & Madison","Upstate University Hospital","College Place","Meadowbrook & Lancaster","Drumlins","NOTE"
,,,"43.076619,-76.169514","43.068775,-76.169878","43.048677,-76.152228","43.045485,-76.147508","43.042686,-76.140552","43.037288,-76.131468","43.024648,-76.121802","43.020828,-76.105612",
"340","W","SU-Drumlins",,,"5:45","5:47","5:50","5:55","6:00","6:10",
"340","W","SU-Drumlins",,,"6:00","6:02","6:05","6:10","6:15","6:25",
"340","W","SU-Drumlins",,,"6:38","6:40","6:43","6:48","6:53","7:03",
"340","W","SU-Drumlins",,,"7:08","7:12","7:05","7:18","7:23","7:34",
"340","W","SU-Drumlins",,,"8:03","8:06","8:10","8:16","8:21","8:32",
"340","W","SU-Drumlins",,,"8:45","8:48","8:52","8:58","9:03","9:14",
"340","W","SU-Drumlins",,,"9:55","9:58","10:02","10:08","10:13","10:24",
"340","W","SU-Drumlins",,,,,,"10:45","10:50","11:04",
"340","W","SU-Drumlins","10:40","10:45","11:05","11:08","11:12","11:18","11:23","11:34",
"340","W","SU-Drumlins",,,,,,"11:55","12:00","12:14",
"340","W","SU-Drumlins","11:50","11:55","12:15","12:18","12:22","12:28","12:33","12:44",
"340","W","SU-Drumlins",,,,,,"13:05","13:10","13:24",
"340","W","SU-Drumlins","13:06","13:10","13:25","13:28","13:32","13:38","13:43","13:54",
"340","W","SU-Drumlins",,,,,,"14:15","14:20","14:34",
"340","W","SU-Drumlins","14:10","14:15","14:35","14:38","14:42","14:48","14:53","15:04",
"340","W","SU-Drumlins","15:20","15:25","15:45","15:48","15:52","15:58","16:03","16:14",
"340","W","SU-Drumlins",,,"16:10","16:13","16:17","16:23","16:28","16:39",
"340","W","SU-Drumlins",,,"16:40","16:43","16:47","16:53","16:58","17:09",
"340","W","SU-Drumlins",,,"17:10","17:13","17:17","17:23","17:28","17:37",
"340","W","SU-Drumlins",,,"17:45","17:47","17:50","17:55","18:00","18:10",
"340","W","SU-Drumlins",,,"18:10","18:12 ","18:15","18:20","18:25","18:35",
"340","W","SU-Drumlins","18:55","19:00","19:15","19:17","19:20","19:25","19:30","19:40",
"340","W","SU-Drumlins",,"10:19","10:35","10:37","10:40","10:45","10:50","11:00",
"340","S","SU-Drumlins",,,"7:30","7:33","7:36","7:41","7:46","7:57",
"340","S","SU-Drumlins",,,"8:30","8:33","8:36","8:41","8:46","8:57",
"340","S","SU-Drumlins",,,"9:30","9:33","9:37","9:43","9:48","9:59",
"340","S","SU-Drumlins",,,"10:40","10:43","10:47","10:53","10:58","11:09",
"340","S","SU-Drumlins",,,"11:50","11:53","11:57","12:03","12:08","12:19",
"340","S","SU-Drumlins",,,"13:00","13:03","13:07","13:13","13:18","13:29",
"340","S","SU-Drumlins",,,"15:20","15:23","13:27","15:33","15:38","15:49",
"340","S","SU-Drumlins",,,"17:05","17:08","17:12","17:18","17:23","17:34",
"340","U","SU-Drumlins",,,"7:30","7:33","7:36","7:41","7:46","7:57",
"340","U","SU-Drumlins",,,"8:30","8:33","8:36","8:41","8:46","8:57",
"340","U","SU-Drumlins",,,"11:50","11:53","11:57","12:03","12:08","12:19",
"340","U","SU-Drumlins",,,"14:10","14:13","14:17","14:23","14:28","14:39",
"340","U","SU-Drumlins",,,"16:30","16:33","16:37","16:43","16:48","16:59",
"340","U","SU-Drumlins",,,"18:10","18:13","18:17","18:23","18:28","18:39",
