"name","description","departure_time","service","journey_pattern"
"Route 340 Inbound 5:43","Route 340 Drumlins",343,"Route 340 Weekday Service Inbound","Route 340 Inbound Weekday"
"Route 340 Inbound 6:12","Route 340 Drumlins",372,"Route 340 Weekday Service Inbound","Route 340 Inbound Weekday"
"Route 340 Inbound 6:25","Route 340 Drumlins",425,"Route 340 Weekday Service Inbound","Route 340 Inbound Weekday"
"Route 340 Inbound 7:35","Route 340 Drumlins",675,"Route 340 Weekday Service Inbound","Route 340 Inbound Weekday Note 3"
"Route 340 Inbound 8:40","Route 340 Drumlins",520,"Route 340 Weekday Service Inbound","Route 340 Inbound Weekday Note 1"
"Route 340 Inbound 9:15","Route 340 Drumlins",555,"Route 340 Weekday Service Inbound","Route 340 Inbound Weekday"
"Route 340 Inbound 9:55","Route 340 Drumlins",595,"Route 340 Weekday Service Inbound","Route 340 Inbound Weekday"
"Route 340 Inbound 10:25","Route 340 Drumlins",925,"Route 340 Weekday Service Inbound","Route 340 Inbound Weekday Note 2"
"Route 340 Inbound 11:05","Route 340 Drumlins",665,"Route 340 Weekday Service Inbound","Route 340 Inbound Weekday"
"Route 340 Inbound 11:35","Route 340 Drumlins",695,"Route 340 Weekday Service Inbound","Route 340 Inbound Weekday Note 2"
"Route 340 Inbound 12:15","Route 340 Drumlins",735,"Route 340 Weekday Service Inbound","Route 340 Inbound Weekday"
"Route 340 Inbound 12:45","Route 340 Drumlins",765,"Route 340 Weekday Service Inbound","Route 340 Inbound Weekday Note 2"
"Route 340 Inbound 13:25","Route 340 Drumlins",805,"Route 340 Weekday Service Inbound","Route 340 Inbound Weekday"
"Route 340 Inbound 13:55","Route 340 Drumlins",835,"Route 340 Weekday Service Inbound","Route 340 Inbound Weekday Note 2"
"Route 340 Inbound 14:35","Route 340 Drumlins",875,"Route 340 Weekday Service Inbound","Route 340 Inbound Weekday Note 1"
"Route 340 Inbound 15:10","Route 340 Drumlins",910,"Route 340 Weekday Service Inbound","Route 340 Inbound Weekday"
"Route 340 Inbound 16:15","Route 340 Drumlins",975,"Route 340 Weekday Service Inbound","Route 340 Inbound Weekday"
"Route 340 Inbound 16:40","Route 340 Drumlins",1000,"Route 340 Weekday Service Inbound","Route 340 Inbound Weekday"
