"Route 443 Inbound Weekday S 197995413-1 07:25","0","Goldstein Student Center","Manley South","http://maps.google.com/maps?f=d&source=s_d&saddr=43.01608,-76.119722&daddr=43.022861,-76.126404"
"Route 443 Inbound Weekday S 197995413-1 07:25","1","Manley South","College Place","http://maps.google.com/maps?f=d&source=s_d&saddr=43.022861,-76.126404&daddr=43.037295,-76.131454"
"Route 443 Inbound Weekday S 197995413-1 07:25","2","College Place","SUNY-ESF (Irving & Raynor)","http://maps.google.com/maps?f=d&source=s_d&saddr=43.037295,-76.131454&daddr=43.03588,-76.138114"
"Route 443 Inbound Weekday S 197995413-1 07:25","3","SUNY-ESF (Irving & Raynor)","Syracuse Stage","http://maps.google.com/maps?f=d&source=s_d&saddr=43.03588,-76.138114&daddr=43.046537,-76.137755"
"Route 443 Inbound Weekday S 197995413-1 07:25","4","Syracuse Stage","Center of Excellence","http://maps.google.com/maps?f=d&source=s_d&saddr=43.046537,-76.137755&daddr=43.049453,-76.141081"
"Route 443 Inbound Weekday S 197995413-1 07:25","5","Center of Excellence","The Warehouse","http://maps.google.com/maps?f=d&source=s_d&saddr=43.049453,-76.141081&daddr=43.049538,-76.158108"
"Route 443 Inbound Weekday S 197995413-2 07:55","0","Goldstein Student Center","Manley South","http://maps.google.com/maps?f=d&source=s_d&saddr=43.01608,-76.119722&daddr=43.022861,-76.126404"
"Route 443 Inbound Weekday S 197995413-2 07:55","1","Manley South","College Place","http://maps.google.com/maps?f=d&source=s_d&saddr=43.022861,-76.126404&daddr=43.037295,-76.131454"
"Route 443 Inbound Weekday S 197995413-2 07:55","2","College Place","SUNY-ESF (Irving & Raynor)","http://maps.google.com/maps?f=d&source=s_d&saddr=43.037295,-76.131454&daddr=43.03588,-76.138114"
"Route 443 Inbound Weekday S 197995413-2 07:55","3","SUNY-ESF (Irving & Raynor)","Syracuse Stage","http://maps.google.com/maps?f=d&source=s_d&saddr=43.03588,-76.138114&daddr=43.046537,-76.137755"
"Route 443 Inbound Weekday S 197995413-2 07:55","4","Syracuse Stage","Center of Excellence","http://maps.google.com/maps?f=d&source=s_d&saddr=43.046537,-76.137755&daddr=43.049453,-76.141081"
"Route 443 Inbound Weekday S 197995413-2 07:55","5","Center of Excellence","The Warehouse","http://maps.google.com/maps?f=d&source=s_d&saddr=43.049453,-76.141081&daddr=43.049538,-76.158108"
"Route 443 Inbound Weekday S 197995413-3 08:20","0","Goldstein Student Center","Manley South","http://maps.google.com/maps?f=d&source=s_d&saddr=43.01608,-76.119722&daddr=43.022861,-76.126404"
"Route 443 Inbound Weekday S 197995413-3 08:20","1","Manley South","College Place","http://maps.google.com/maps?f=d&source=s_d&saddr=43.022861,-76.126404&daddr=43.037295,-76.131454"
"Route 443 Inbound Weekday S 197995413-3 08:20","2","College Place","SUNY-ESF (Irving & Raynor)","http://maps.google.com/maps?f=d&source=s_d&saddr=43.037295,-76.131454&daddr=43.03588,-76.138114"
"Route 443 Inbound Weekday S 197995413-3 08:20","3","SUNY-ESF (Irving & Raynor)","Syracuse Stage","http://maps.google.com/maps?f=d&source=s_d&saddr=43.03588,-76.138114&daddr=43.046537,-76.137755"
"Route 443 Inbound Weekday S 197995413-3 08:20","4","Syracuse Stage","Center of Excellence","http://maps.google.com/maps?f=d&source=s_d&saddr=43.046537,-76.137755&daddr=43.049453,-76.141081"
"Route 443 Inbound Weekday S 197995413-3 08:20","5","Center of Excellence","The Warehouse","http://maps.google.com/maps?f=d&source=s_d&saddr=43.049453,-76.141081&daddr=43.049538,-76.158108"
"Route 443 Inbound Weekday S 197995413-4 08:55","0","Goldstein Student Center","Manley South","http://maps.google.com/maps?f=d&source=s_d&saddr=43.01608,-76.119722&daddr=43.022861,-76.126404"
"Route 443 Inbound Weekday S 197995413-4 08:55","1","Manley South","College Place","http://maps.google.com/maps?f=d&source=s_d&saddr=43.022861,-76.126404&daddr=43.037295,-76.131454"
"Route 443 Inbound Weekday S 197995413-4 08:55","2","College Place","SUNY-ESF (Irving & Raynor)","http://maps.google.com/maps?f=d&source=s_d&saddr=43.037295,-76.131454&daddr=43.03588,-76.138114"
"Route 443 Inbound Weekday S 197995413-4 08:55","3","SUNY-ESF (Irving & Raynor)","Syracuse Stage","http://maps.google.com/maps?f=d&source=s_d&saddr=43.03588,-76.138114&daddr=43.046537,-76.137755"
"Route 443 Inbound Weekday S 197995413-4 08:55","4","Syracuse Stage","Center of Excellence","http://maps.google.com/maps?f=d&source=s_d&saddr=43.046537,-76.137755&daddr=43.049453,-76.141081"
"Route 443 Inbound Weekday S 197995413-4 08:55","5","Center of Excellence","The Warehouse","http://maps.google.com/maps?f=d&source=s_d&saddr=43.049453,-76.141081&daddr=43.049538,-76.158108"
"Route 443 Inbound Weekday S 197995413-5 09:00","0","Goldstein Student Center","Manley South","http://maps.google.com/maps?f=d&source=s_d&saddr=43.01608,-76.119722&daddr=43.022861,-76.126404"
